waktu,loncat,kalori
6,11,1
7,13,1
9,19,1
12,26,2
13,29,2
16,32,2
18,39,3
20,44,3
22,49,4
24,54,4
26,60,4
28,64,5
31,72,5
34,80,6
37,87,6
38,90,7
41,98,7
43,102,8
47,111,8
51,121,9
54,129,10
55,132,10
58,140,10
61,148,11
64,157,11
67,163,12
71,169,13
73,174,13
76,182,14
78,188,14
81,196,15
84,204,15
87,212,16
91,220,16
93,228,17
96,233,17
99,239,18
100,244,18
106,257,19
108,260,20
111,268,20
114,276,21
116,281,21
119,290,22
122,298,22
125,304,23
129,309,24
132,318,24
134,327,25
138,335,25
144,351,26
147,360,27
150,368,28
151,370,28
155,376,28
158,383,29
161,389,30
165,399,30
167,405,31
170,413,31
173,421,32
175,427,32
178,433,33
181,441,33
184,449,34
186,455,34
189,457,35
195,470,36
199,479,37
202,487,37
205,495,38
207,501,38
211,513,39
216,525,40
221,539,41
223,545,41
227,555,42
234,570,43
237,578,44
240,588,44
242,592,45
248,608,46
240,614,46
256,629,47
262,644,48
266,654,49
268,658,50
272,665,50
274,671,51
278,681,51
282,693,52
284,697,53
289,708,53
293,718,54
297,725,55
303,737,56
308,745,57
310,750,57
315,761,58
317,764,59
324,779,60
331,799,61
335,810,62
341,822,63
343,828,64
345,834,64
353,851,65
357,861,66
361,868,67
368,886,68
372,893,69
377,905,70
381,915,71
386,927,72
393,941,73
395,945,73
400,954,74
404,966,75
409,978,76
412,983,76
415,991,77
418,994,78
420,1000,78
424,1010,79
428,1022,79
431,1030,80
439,1052,81
444,1061,82
447,1069,83
451,1075,84
457,1088,85
462,1102,86
467,1111,87
473,1120,88
480,1134,89
485,1147,90
491,1158,91
496,1169,92
503,1188,93
506,1194,94
512,1202,95
520,1219,96
524,1228,97
527,1236,98
529,1242,98
534,1252,99
540,1263,100
546,1276,101
551,1288,102
556,1300,103
561,1309,104
565,1321,105
570,1329,106
576,1342,107
583,1355,108
589,1366,109
591,1371,110
598,1390,111
601,1400,112